('add' 'mov' 'mov' 'cmp' 'shr')	('mov' 'mov' 'cmp' 'shr' 'lea')	('add' 'test' 'jmp' 'test' 'movq')	('mov' 'movq' 'mov' 'add' 'add')	('test' 'jmp' 'test' 'movq' 'mov')	binary	optimized
1	0	0	0	0	mkfifo_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	dirname_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	wc_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	shred_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	chown_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	sleep_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	hostid_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	mv_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	expand_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	ln_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	cut_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	comm_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	mktemp_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	du_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	numfmt_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	paste_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	od_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	join_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	true_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	echo_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	yes_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	users_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	chroot_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	fmt_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	chcon_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	printf_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	printenv_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	df_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	rm_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	sum_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	head_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	pathchk_NGRAMS.txt_-fexpensive-optimizations	0
1	0	0	0	0	seq_NGRAMS.txt_-fexpensive-optimizations	0
